Model,Variant,Year,Odometer_Reading,Fuel_type,Transmission,Price
Tata Nexon,XMA S AMT Diesel,2022,"71,000 kms",Diesel,Automatic,₹7.25 Lakh
Maruti Suzuki Swift Dzire,ZDI,2017,"70,000 kms",Diesel,Manual,₹4.50 Lakh
Tata Tiago,XZ Plus,2022,"73,225 kms",Petrol,Manual,₹4.84 Lakh
Hyundai Grand i10 Nios,Sportz CNG,2022,"46,000 kms",CNG,Manual,₹5.75 Lakh
Bentley Flying Spur,V8,2017,"22,000 kms",Petrol,Automatic,₹1.58 Crore
Honda Amaze,S Petrol BSIV,2019,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2024,"69,000 kms",Petrol,Automatic,₹31.49 Lakh
Hyundai Creta,SX IVT BSVI,2021,"68,000 kms",Petrol,Automatic,₹10.90 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2023,"30,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Grand i10,Sportz,2014,"85,000 kms",Petrol,Manual,₹2.25 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2019,"75,000 kms",Diesel,Automatic,₹5.40 Lakh
Maruti Suzuki Swift,VXI AMT BSVI,2021,"56,000 kms",Petrol,Automatic,₹5.20 Lakh
BMW 6 Series,GT 630i M Sport,2024,"10,000 kms",Petrol,Automatic,₹60 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2014,"65,882 kms",Petrol,Automatic,₹2.90 Lakh
Maruti Suzuki Swift,VXI AMT,2023,"43,000 kms",Petrol,Automatic,₹6.49 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"85,000 kms",Diesel,Manual,₹4 Lakh
Maruti Suzuki Swift,LXi,2023,"21,405 kms",Petrol,Manual,₹5.13 Lakh
Tata Nexon,1.5 Revotorq XT,2017,"78,000 kms",Diesel,Manual,₹3.75 Lakh
Honda Amaze,V,2019,"61,986 kms",Petrol,Manual,₹4.23 Lakh
Maruti Suzuki Swift Dzire,LXI BSVI,2022,"26,000 kms",Petrol,Manual,₹5.59 Lakh
Tata Nexon,XMA S AMT Diesel,2022,"71,000 kms",Diesel,Automatic,₹7.25 Lakh
Maruti Suzuki Swift Dzire,ZDI,2017,"70,000 kms",Diesel,Manual,₹4.50 Lakh
Tata Tiago,XZ Plus,2022,"73,225 kms",Petrol,Manual,₹4.84 Lakh
Hyundai Grand i10 Nios,Sportz CNG,2022,"46,000 kms",CNG,Manual,₹5.75 Lakh
Bentley Flying Spur,V8,2017,"22,000 kms",Petrol,Automatic,₹1.58 Crore
Honda Amaze,S Petrol BSIV,2019,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2024,"69,000 kms",Petrol,Automatic,₹31.49 Lakh
Hyundai Creta,SX IVT BSVI,2021,"68,000 kms",Petrol,Automatic,₹10.90 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2023,"30,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Grand i10,Sportz,2014,"85,000 kms",Petrol,Manual,₹2.25 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2019,"75,000 kms",Diesel,Automatic,₹5.40 Lakh
Maruti Suzuki Swift,VXI AMT BSVI,2021,"56,000 kms",Petrol,Automatic,₹5.20 Lakh
BMW 6 Series,GT 630i M Sport,2024,"10,000 kms",Petrol,Automatic,₹60 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2014,"65,882 kms",Petrol,Automatic,₹2.90 Lakh
Maruti Suzuki Swift,VXI AMT,2023,"43,000 kms",Petrol,Automatic,₹6.49 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"85,000 kms",Diesel,Manual,₹4 Lakh
Maruti Suzuki Swift,LXi,2023,"21,405 kms",Petrol,Manual,₹5.13 Lakh
Tata Nexon,1.5 Revotorq XT,2017,"78,000 kms",Diesel,Manual,₹3.75 Lakh
Honda Amaze,V,2019,"61,986 kms",Petrol,Manual,₹4.23 Lakh
Maruti Suzuki Swift Dzire,LXI BSVI,2022,"26,000 kms",Petrol,Manual,₹5.59 Lakh
Tata Nexon,XMA S AMT Diesel,2022,"71,000 kms",Diesel,Automatic,₹7.25 Lakh
Maruti Suzuki Swift Dzire,ZDI,2017,"70,000 kms",Diesel,Manual,₹4.50 Lakh
Tata Tiago,XZ Plus,2022,"73,225 kms",Petrol,Manual,₹4.84 Lakh
Hyundai Grand i10 Nios,Sportz CNG,2022,"46,000 kms",CNG,Manual,₹5.75 Lakh
Bentley Flying Spur,V8,2017,"22,000 kms",Petrol,Automatic,₹1.58 Crore
Honda Amaze,S Petrol BSIV,2019,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2024,"69,000 kms",Petrol,Automatic,₹31.49 Lakh
Hyundai Creta,SX IVT BSVI,2021,"68,000 kms",Petrol,Automatic,₹10.90 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2023,"30,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Grand i10,Sportz,2014,"85,000 kms",Petrol,Manual,₹2.25 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2019,"75,000 kms",Diesel,Automatic,₹5.40 Lakh
Maruti Suzuki Swift,VXI AMT BSVI,2021,"56,000 kms",Petrol,Automatic,₹5.20 Lakh
BMW 6 Series,GT 630i M Sport,2024,"10,000 kms",Petrol,Automatic,₹60 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2014,"65,882 kms",Petrol,Automatic,₹2.90 Lakh
Maruti Suzuki Swift,VXI AMT,2023,"43,000 kms",Petrol,Automatic,₹6.49 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"85,000 kms",Diesel,Manual,₹4 Lakh
Maruti Suzuki Swift,LXi,2023,"21,405 kms",Petrol,Manual,₹5.13 Lakh
Tata Nexon,1.5 Revotorq XT,2017,"78,000 kms",Diesel,Manual,₹3.75 Lakh
Honda Amaze,V,2019,"61,986 kms",Petrol,Manual,₹4.23 Lakh
Maruti Suzuki Swift Dzire,LXI BSVI,2022,"26,000 kms",Petrol,Manual,₹5.59 Lakh
Tata Nexon,XMA S AMT Diesel,2022,"71,000 kms",Diesel,Automatic,₹7.25 Lakh
Maruti Suzuki Swift Dzire,ZDI,2017,"70,000 kms",Diesel,Manual,₹4.50 Lakh
Tata Tiago,XZ Plus,2022,"73,225 kms",Petrol,Manual,₹4.84 Lakh
Hyundai Grand i10 Nios,Sportz CNG,2022,"46,000 kms",CNG,Manual,₹5.75 Lakh
Bentley Flying Spur,V8,2017,"22,000 kms",Petrol,Automatic,₹1.58 Crore
Honda Amaze,S Petrol BSIV,2019,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2024,"69,000 kms",Petrol,Automatic,₹31.49 Lakh
Hyundai Creta,SX IVT BSVI,2021,"68,000 kms",Petrol,Automatic,₹10.90 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2023,"30,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Grand i10,Sportz,2014,"85,000 kms",Petrol,Manual,₹2.25 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2019,"75,000 kms",Diesel,Automatic,₹5.40 Lakh
Maruti Suzuki Swift,VXI AMT BSVI,2021,"56,000 kms",Petrol,Automatic,₹5.20 Lakh
BMW 6 Series,GT 630i M Sport,2024,"10,000 kms",Petrol,Automatic,₹60 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2014,"65,882 kms",Petrol,Automatic,₹2.90 Lakh
Maruti Suzuki Swift,VXI AMT,2023,"43,000 kms",Petrol,Automatic,₹6.49 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"85,000 kms",Diesel,Manual,₹4 Lakh
Maruti Suzuki Swift,LXi,2023,"21,405 kms",Petrol,Manual,₹5.13 Lakh
Tata Nexon,1.5 Revotorq XT,2017,"78,000 kms",Diesel,Manual,₹3.75 Lakh
Honda Amaze,V,2019,"61,986 kms",Petrol,Manual,₹4.23 Lakh
Maruti Suzuki Swift Dzire,LXI BSVI,2022,"26,000 kms",Petrol,Manual,₹5.59 Lakh
Tata Nexon,XMA S AMT Diesel,2022,"71,000 kms",Diesel,Automatic,₹7.25 Lakh
Maruti Suzuki Swift Dzire,ZDI,2017,"70,000 kms",Diesel,Manual,₹4.50 Lakh
Tata Tiago,XZ Plus,2022,"73,225 kms",Petrol,Manual,₹4.84 Lakh
Hyundai Grand i10 Nios,Sportz CNG,2022,"46,000 kms",CNG,Manual,₹5.75 Lakh
Bentley Flying Spur,V8,2017,"22,000 kms",Petrol,Automatic,₹1.58 Crore
Honda Amaze,S Petrol BSIV,2019,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2024,"69,000 kms",Petrol,Automatic,₹31.49 Lakh
Hyundai Creta,SX IVT BSVI,2021,"68,000 kms",Petrol,Automatic,₹10.90 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2023,"30,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Grand i10,Sportz,2014,"85,000 kms",Petrol,Manual,₹2.25 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2019,"75,000 kms",Diesel,Automatic,₹5.40 Lakh
Maruti Suzuki Swift,VXI AMT BSVI,2021,"56,000 kms",Petrol,Automatic,₹5.20 Lakh
BMW 6 Series,GT 630i M Sport,2024,"10,000 kms",Petrol,Automatic,₹60 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2014,"65,882 kms",Petrol,Automatic,₹2.90 Lakh
Maruti Suzuki Swift,VXI AMT,2023,"43,000 kms",Petrol,Automatic,₹6.49 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"85,000 kms",Diesel,Manual,₹4 Lakh
Maruti Suzuki Swift,LXi,2023,"21,405 kms",Petrol,Manual,₹5.13 Lakh
Tata Nexon,1.5 Revotorq XT,2017,"78,000 kms",Diesel,Manual,₹3.75 Lakh
Honda Amaze,V,2019,"61,986 kms",Petrol,Manual,₹4.23 Lakh
Maruti Suzuki Swift Dzire,LXI BSVI,2022,"26,000 kms",Petrol,Manual,₹5.59 Lakh
Tata Nexon,XMA S AMT Diesel,2022,"71,000 kms",Diesel,Automatic,₹7.25 Lakh
Maruti Suzuki Swift Dzire,ZDI,2017,"70,000 kms",Diesel,Manual,₹4.50 Lakh
Tata Tiago,XZ Plus,2022,"73,225 kms",Petrol,Manual,₹4.84 Lakh
Hyundai Grand i10 Nios,Sportz CNG,2022,"46,000 kms",CNG,Manual,₹5.75 Lakh
Bentley Flying Spur,V8,2017,"22,000 kms",Petrol,Automatic,₹1.58 Crore
Honda Amaze,S Petrol BSIV,2019,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2024,"69,000 kms",Petrol,Automatic,₹31.49 Lakh
Hyundai Creta,SX IVT BSVI,2021,"68,000 kms",Petrol,Automatic,₹10.90 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2023,"30,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Grand i10,Sportz,2014,"85,000 kms",Petrol,Manual,₹2.25 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2019,"75,000 kms",Diesel,Automatic,₹5.40 Lakh
Maruti Suzuki Swift,VXI AMT BSVI,2021,"56,000 kms",Petrol,Automatic,₹5.20 Lakh
BMW 6 Series,GT 630i M Sport,2024,"10,000 kms",Petrol,Automatic,₹60 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2014,"65,882 kms",Petrol,Automatic,₹2.90 Lakh
Maruti Suzuki Swift,VXI AMT,2023,"43,000 kms",Petrol,Automatic,₹6.49 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"85,000 kms",Diesel,Manual,₹4 Lakh
Maruti Suzuki Swift,LXi,2023,"21,405 kms",Petrol,Manual,₹5.13 Lakh
Tata Nexon,1.5 Revotorq XT,2017,"78,000 kms",Diesel,Manual,₹3.75 Lakh
Honda Amaze,V,2019,"61,986 kms",Petrol,Manual,₹4.23 Lakh
Maruti Suzuki Swift Dzire,LXI BSVI,2022,"26,000 kms",Petrol,Manual,₹5.59 Lakh
Tata Nexon,XMA S AMT Diesel,2022,"71,000 kms",Diesel,Automatic,₹7.25 Lakh
Maruti Suzuki Swift Dzire,ZDI,2017,"70,000 kms",Diesel,Manual,₹4.50 Lakh
Tata Tiago,XZ Plus,2022,"73,225 kms",Petrol,Manual,₹4.84 Lakh
Hyundai Grand i10 Nios,Sportz CNG,2022,"46,000 kms",CNG,Manual,₹5.75 Lakh
Bentley Flying Spur,V8,2017,"22,000 kms",Petrol,Automatic,₹1.58 Crore
Honda Amaze,S Petrol BSIV,2019,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2024,"69,000 kms",Petrol,Automatic,₹31.49 Lakh
Hyundai Creta,SX IVT BSVI,2021,"68,000 kms",Petrol,Automatic,₹10.90 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2023,"30,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Grand i10,Sportz,2014,"85,000 kms",Petrol,Manual,₹2.25 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2019,"75,000 kms",Diesel,Automatic,₹5.40 Lakh
Maruti Suzuki Swift,VXI AMT BSVI,2021,"56,000 kms",Petrol,Automatic,₹5.20 Lakh
BMW 6 Series,GT 630i M Sport,2024,"10,000 kms",Petrol,Automatic,₹60 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2014,"65,882 kms",Petrol,Automatic,₹2.90 Lakh
Maruti Suzuki Swift,VXI AMT,2023,"43,000 kms",Petrol,Automatic,₹6.49 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"85,000 kms",Diesel,Manual,₹4 Lakh
Maruti Suzuki Swift,LXi,2023,"21,405 kms",Petrol,Manual,₹5.13 Lakh
Tata Nexon,1.5 Revotorq XT,2017,"78,000 kms",Diesel,Manual,₹3.75 Lakh
Honda Amaze,V,2019,"61,986 kms",Petrol,Manual,₹4.23 Lakh
Maruti Suzuki Swift Dzire,LXI BSVI,2022,"26,000 kms",Petrol,Manual,₹5.59 Lakh
Tata Nexon,XMA S AMT Diesel,2022,"71,000 kms",Diesel,Automatic,₹7.25 Lakh
Maruti Suzuki Swift Dzire,ZDI,2017,"70,000 kms",Diesel,Manual,₹4.50 Lakh
Tata Tiago,XZ Plus,2022,"73,225 kms",Petrol,Manual,₹4.84 Lakh
Hyundai Grand i10 Nios,Sportz CNG,2022,"46,000 kms",CNG,Manual,₹5.75 Lakh
Bentley Flying Spur,V8,2017,"22,000 kms",Petrol,Automatic,₹1.58 Crore
Honda Amaze,S Petrol BSIV,2019,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2024,"69,000 kms",Petrol,Automatic,₹31.49 Lakh
Hyundai Creta,SX IVT BSVI,2021,"68,000 kms",Petrol,Automatic,₹10.90 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2023,"30,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Grand i10,Sportz,2014,"85,000 kms",Petrol,Manual,₹2.25 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2019,"75,000 kms",Diesel,Automatic,₹5.40 Lakh
Maruti Suzuki Swift,VXI AMT BSVI,2021,"56,000 kms",Petrol,Automatic,₹5.20 Lakh
BMW 6 Series,GT 630i M Sport,2024,"10,000 kms",Petrol,Automatic,₹60 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2014,"65,882 kms",Petrol,Automatic,₹2.90 Lakh
Maruti Suzuki Swift,VXI AMT,2023,"43,000 kms",Petrol,Automatic,₹6.49 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"85,000 kms",Diesel,Manual,₹4 Lakh
Maruti Suzuki Swift,LXi,2023,"21,405 kms",Petrol,Manual,₹5.13 Lakh
Tata Nexon,1.5 Revotorq XT,2017,"78,000 kms",Diesel,Manual,₹3.75 Lakh
Honda Amaze,V,2019,"61,986 kms",Petrol,Manual,₹4.23 Lakh
Maruti Suzuki Swift Dzire,LXI BSVI,2022,"26,000 kms",Petrol,Manual,₹5.59 Lakh
Tata Nexon,XMA S AMT Diesel,2022,"71,000 kms",Diesel,Automatic,₹7.25 Lakh
Maruti Suzuki Swift Dzire,ZDI,2017,"70,000 kms",Diesel,Manual,₹4.50 Lakh
Tata Tiago,XZ Plus,2022,"73,225 kms",Petrol,Manual,₹4.84 Lakh
Hyundai Grand i10 Nios,Sportz CNG,2022,"46,000 kms",CNG,Manual,₹5.75 Lakh
Bentley Flying Spur,V8,2017,"22,000 kms",Petrol,Automatic,₹1.58 Crore
Honda Amaze,S Petrol BSIV,2019,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2024,"69,000 kms",Petrol,Automatic,₹31.49 Lakh
Hyundai Creta,SX IVT BSVI,2021,"68,000 kms",Petrol,Automatic,₹10.90 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2023,"30,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Grand i10,Sportz,2014,"85,000 kms",Petrol,Manual,₹2.25 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2019,"75,000 kms",Diesel,Automatic,₹5.40 Lakh
Maruti Suzuki Swift,VXI AMT BSVI,2021,"56,000 kms",Petrol,Automatic,₹5.20 Lakh
BMW 6 Series,GT 630i M Sport,2024,"10,000 kms",Petrol,Automatic,₹60 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2014,"65,882 kms",Petrol,Automatic,₹2.90 Lakh
Maruti Suzuki Swift,VXI AMT,2023,"43,000 kms",Petrol,Automatic,₹6.49 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"85,000 kms",Diesel,Manual,₹4 Lakh
Maruti Suzuki Swift,LXi,2023,"21,405 kms",Petrol,Manual,₹5.13 Lakh
Tata Nexon,1.5 Revotorq XT,2017,"78,000 kms",Diesel,Manual,₹3.75 Lakh
Honda Amaze,V,2019,"61,986 kms",Petrol,Manual,₹4.23 Lakh
Maruti Suzuki Swift Dzire,LXI BSVI,2022,"26,000 kms",Petrol,Manual,₹5.59 Lakh
Tata Nexon,XMA S AMT Diesel,2022,"71,000 kms",Diesel,Automatic,₹7.25 Lakh
Maruti Suzuki Swift Dzire,ZDI,2017,"70,000 kms",Diesel,Manual,₹4.50 Lakh
Tata Tiago,XZ Plus,2022,"73,225 kms",Petrol,Manual,₹4.84 Lakh
Hyundai Grand i10 Nios,Sportz CNG,2022,"46,000 kms",CNG,Manual,₹5.75 Lakh
Bentley Flying Spur,V8,2017,"22,000 kms",Petrol,Automatic,₹1.58 Crore
Honda Amaze,S Petrol BSIV,2019,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2024,"69,000 kms",Petrol,Automatic,₹31.49 Lakh
Hyundai Creta,SX IVT BSVI,2021,"68,000 kms",Petrol,Automatic,₹10.90 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2023,"30,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Grand i10,Sportz,2014,"85,000 kms",Petrol,Manual,₹2.25 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2019,"75,000 kms",Diesel,Automatic,₹5.40 Lakh
Maruti Suzuki Swift,VXI AMT BSVI,2021,"56,000 kms",Petrol,Automatic,₹5.20 Lakh
BMW 6 Series,GT 630i M Sport,2024,"10,000 kms",Petrol,Automatic,₹60 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2014,"65,882 kms",Petrol,Automatic,₹2.90 Lakh
Maruti Suzuki Swift,VXI AMT,2023,"43,000 kms",Petrol,Automatic,₹6.49 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"85,000 kms",Diesel,Manual,₹4 Lakh
Maruti Suzuki Swift,LXi,2023,"21,405 kms",Petrol,Manual,₹5.13 Lakh
Tata Nexon,1.5 Revotorq XT,2017,"78,000 kms",Diesel,Manual,₹3.75 Lakh
Honda Amaze,V,2019,"61,986 kms",Petrol,Manual,₹4.23 Lakh
Maruti Suzuki Swift Dzire,LXI BSVI,2022,"26,000 kms",Petrol,Manual,₹5.59 Lakh
Tata Nexon,XMA S AMT Diesel,2022,"71,000 kms",Diesel,Automatic,₹7.25 Lakh
Maruti Suzuki Swift Dzire,ZDI,2017,"70,000 kms",Diesel,Manual,₹4.50 Lakh
Tata Tiago,XZ Plus,2022,"73,225 kms",Petrol,Manual,₹4.84 Lakh
Hyundai Grand i10 Nios,Sportz CNG,2022,"46,000 kms",CNG,Manual,₹5.75 Lakh
Bentley Flying Spur,V8,2017,"22,000 kms",Petrol,Automatic,₹1.58 Crore
Honda Amaze,S Petrol BSIV,2019,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2024,"69,000 kms",Petrol,Automatic,₹31.49 Lakh
Hyundai Creta,SX IVT BSVI,2021,"68,000 kms",Petrol,Automatic,₹10.90 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2023,"30,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Grand i10,Sportz,2014,"85,000 kms",Petrol,Manual,₹2.25 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2019,"75,000 kms",Diesel,Automatic,₹5.40 Lakh
Maruti Suzuki Swift,VXI AMT BSVI,2021,"56,000 kms",Petrol,Automatic,₹5.20 Lakh
BMW 6 Series,GT 630i M Sport,2024,"10,000 kms",Petrol,Automatic,₹60 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2014,"65,882 kms",Petrol,Automatic,₹2.90 Lakh
Maruti Suzuki Swift,VXI AMT,2023,"43,000 kms",Petrol,Automatic,₹6.49 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"85,000 kms",Diesel,Manual,₹4 Lakh
Maruti Suzuki Swift,LXi,2023,"21,405 kms",Petrol,Manual,₹5.13 Lakh
Tata Nexon,1.5 Revotorq XT,2017,"78,000 kms",Diesel,Manual,₹3.75 Lakh
Honda Amaze,V,2019,"61,986 kms",Petrol,Manual,₹4.23 Lakh
Maruti Suzuki Swift Dzire,LXI BSVI,2022,"26,000 kms",Petrol,Manual,₹5.59 Lakh
Tata Nexon,XMA S AMT Diesel,2022,"71,000 kms",Diesel,Automatic,₹7.25 Lakh
Maruti Suzuki Swift Dzire,ZDI,2017,"70,000 kms",Diesel,Manual,₹4.50 Lakh
Tata Tiago,XZ Plus,2022,"73,225 kms",Petrol,Manual,₹4.84 Lakh
Hyundai Grand i10 Nios,Sportz CNG,2022,"46,000 kms",CNG,Manual,₹5.75 Lakh
Bentley Flying Spur,V8,2017,"22,000 kms",Petrol,Automatic,₹1.58 Crore
Honda Amaze,S Petrol BSIV,2019,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2024,"69,000 kms",Petrol,Automatic,₹31.49 Lakh
Hyundai Creta,SX IVT BSVI,2021,"68,000 kms",Petrol,Automatic,₹10.90 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2023,"30,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Grand i10,Sportz,2014,"85,000 kms",Petrol,Manual,₹2.25 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2019,"75,000 kms",Diesel,Automatic,₹5.40 Lakh
Maruti Suzuki Swift,VXI AMT BSVI,2021,"56,000 kms",Petrol,Automatic,₹5.20 Lakh
BMW 6 Series,GT 630i M Sport,2024,"10,000 kms",Petrol,Automatic,₹60 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2014,"65,882 kms",Petrol,Automatic,₹2.90 Lakh
Maruti Suzuki Swift,VXI AMT,2023,"43,000 kms",Petrol,Automatic,₹6.49 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"85,000 kms",Diesel,Manual,₹4 Lakh
Maruti Suzuki Swift,LXi,2023,"21,405 kms",Petrol,Manual,₹5.13 Lakh
Tata Nexon,1.5 Revotorq XT,2017,"78,000 kms",Diesel,Manual,₹3.75 Lakh
Honda Amaze,V,2019,"61,986 kms",Petrol,Manual,₹4.23 Lakh
Maruti Suzuki Swift Dzire,LXI BSVI,2022,"26,000 kms",Petrol,Manual,₹5.59 Lakh
Tata Nexon,XMA S AMT Diesel,2022,"71,000 kms",Diesel,Automatic,₹7.25 Lakh
Maruti Suzuki Swift Dzire,ZDI,2017,"70,000 kms",Diesel,Manual,₹4.50 Lakh
Tata Tiago,XZ Plus,2022,"73,225 kms",Petrol,Manual,₹4.84 Lakh
Hyundai Grand i10 Nios,Sportz CNG,2022,"46,000 kms",CNG,Manual,₹5.75 Lakh
Bentley Flying Spur,V8,2017,"22,000 kms",Petrol,Automatic,₹1.58 Crore
Honda Amaze,S Petrol BSIV,2019,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2024,"69,000 kms",Petrol,Automatic,₹31.49 Lakh
Hyundai Creta,SX IVT BSVI,2021,"68,000 kms",Petrol,Automatic,₹10.90 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2023,"30,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Grand i10,Sportz,2014,"85,000 kms",Petrol,Manual,₹2.25 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2019,"75,000 kms",Diesel,Automatic,₹5.40 Lakh
Maruti Suzuki Swift,VXI AMT BSVI,2021,"56,000 kms",Petrol,Automatic,₹5.20 Lakh
BMW 6 Series,GT 630i M Sport,2024,"10,000 kms",Petrol,Automatic,₹60 Lakh
Ford Ecosport,1.5 Ti VCT AT Titanium,2014,"65,882 kms",Petrol,Automatic,₹2.90 Lakh
Maruti Suzuki Swift,VXI AMT,2023,"43,000 kms",Petrol,Automatic,₹6.49 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"85,000 kms",Diesel,Manual,₹4 Lakh
Maruti Suzuki Swift,LXi,2023,"21,405 kms",Petrol,Manual,₹5.13 Lakh
Tata Nexon,1.5 Revotorq XT,2017,"78,000 kms",Diesel,Manual,₹3.75 Lakh
Honda Amaze,V,2019,"61,986 kms",Petrol,Manual,₹4.23 Lakh
Maruti Suzuki Swift Dzire,LXI BSVI,2022,"26,000 kms",Petrol,Manual,₹5.59 Lakh
Tata Nexon,XMA S AMT Diesel,2022,"71,000 kms",Diesel,Automatic,₹7.25 Lakh
Maruti Suzuki Swift Dzire,ZDI,2017,"70,000 kms",Diesel,Manual,₹4.50 Lakh
Tata Tiago,XZ Plus,2022,"73,225 kms",Petrol,Manual,₹4.84 Lakh
Hyundai Grand i10 Nios,Sportz CNG,2022,"46,000 kms",CNG,Manual,₹5.75 Lakh
Bentley Flying Spur,V8,2017,"22,000 kms",Petrol,Automatic,₹1.58 Crore
Honda Amaze,S Petrol BSIV,2019,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Toyota Innova Hycross,ZX(O) Hybrid,2024,"69,000 kms",Petrol,Automatic,₹31.49 Lakh
Hyundai Creta,SX IVT BSVI,2021,"68,000 kms",Petrol,Automatic,₹10.90 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2023,"30,000 kms",Petrol,Manual,₹6.30 Lakh
Hyundai Grand i10,Sportz,2014,"85,000 kms",Petrol,Manual,₹2.25 Lakh
Tata Nexon,1.5 Revotorq XZA Plus,2019,"75,000 kms",Diesel,Automatic,₹5.40 Lakh
